causa;obitos;capitulo;pct_total
Doenças do aparelho circulatório;1414;IX;22.6
Neoplasias (tumores);856;II;13.7
Sint/sinais e achados anormais;854;XVIII;13.7
Doenças infecciosas e parasitárias;792;I;12.7
Doenças do aparelho respiratório;625;X;10.0
Causas externas;419;XX;6.7
Doenças endócrinas e metabólicas;361;IV;5.8
Doenças do aparelho digestivo;269;XI;4.3
Doenças do aparelho geniturinário;219;XIV;3.5
Doenças do sistema nervoso;168;VI;2.7
Afecções perinatais;94;XVI;1.5
Transtornos mentais;46;V;0.7
Doenças do sangue;45;III;0.7
Doenças da pele;36;XII;0.6
Malformações congênitas;31;XVII;0.5
Gravidez e parto;13;XV;0.2
Doenças osteomusculares;11;XIII;0.2
Doenças do ouvido;1;VIII;0.0
