Código da Emenda;Ano da Emenda;Nome do Autor da Emenda;Número da emenda;Valor Empenhado;Valor Pago;Tipo de Emenda;Data Documento;Município de aplicação do recurso;Código IBGE do município de aplicação do recurso;Fase da despesa;Favorecido;Órgão Superior;Grupo Despesa;Elemento Despesa;Função;SubFunção;Ação;Possui convênio?
202081000179;2020;RELATOR GERAL;0179;1908600.0;0.0;Emenda de Relator;31/12/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;MUNICIPIO DE FERRAZ DE VASCONCELOS;Ministério da Agricultura e Pecuária;Investimentos;Auxílios;Agricultura;Promoção da produção agropecuária;FOMENTO AO SETOR AGROPECUARIO;NÃO
202037170008;2020;MARCIO ALVINO;0008;0.0;100000.0;Emenda Individual - Transferências com Finalidade Definida;28/07/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;Outras Despesas Correntes;Contribuições;Assistência social;Assistência comunitária;ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);NÃO
202037170008;2020;MARCIO ALVINO;0008;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;24/07/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;Investimentos;Auxílios;Assistência social;Assistência comunitária;ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);NÃO
202037170008;2020;MARCIO ALVINO;0008;0.0;100000.0;Emenda Individual - Transferências com Finalidade Definida;28/07/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;Investimentos;Auxílios;Assistência social;Assistência comunitária;ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);NÃO
202037170008;2020;MARCIO ALVINO;0008;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;27/07/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;Outras Despesas Correntes;Contribuições;Assistência social;Assistência comunitária;ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);NÃO
202037170008;2020;MARCIO ALVINO;0008;100000.0;0.0;Emenda Individual - Transferências com Finalidade Definida;23/06/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;Outras Despesas Correntes;Contribuições;Assistência social;Assistência comunitária;ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);NÃO
202037170008;2020;MARCIO ALVINO;0008;100000.0;0.0;Emenda Individual - Transferências com Finalidade Definida;23/06/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;Investimentos;Auxílios;Assistência social;Assistência comunitária;ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);NÃO
202041260002;2020;POLICIAL KATIA SASTRE;0002;200000.0;0.0;Emenda Individual - Transferências com Finalidade Definida;09/04/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Saúde;Atenção básica;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;NÃO
202041180002;2020;MARCO BERTAIOLLI;0002;224846.0;0.0;Emenda Individual - Transferências com Finalidade Definida;21/05/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Investimentos;Auxílios;Saúde;Assistência hospitalar e ambulatorial;ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE;NÃO
202023560008;2020;ARNALDO JARDIM;0008;149995.0;0.0;Emenda Individual - Transferências com Finalidade Definida;04/05/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Investimentos;Auxílios;Saúde;Atenção básica;ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE;NÃO
202031350002;2020;ARLINDO CHINAGLIA;0002;100000.0;0.0;Emenda Individual - Transferências com Finalidade Definida;13/04/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Saúde;Assistência hospitalar e ambulatorial;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;NÃO
202041260003;2020;POLICIAL KATIA SASTRE;0003;0.0;100000.0;Emenda Individual - Transferências Especiais;26/06/2020;FERRAZ DE VASCONCELOS;3515707;Pagamento;MUNICIPIO DE FERRAZ DE VASCONCELOS;Ministério da Fazenda;Investimentos;Contribuições;Encargos especiais;Outras transferências;TRANSFERENCIAS ESPECIAIS;NÃO
202041260003;2020;POLICIAL KATIA SASTRE;0003;0.0;0.0;Emenda Individual - Transferências Especiais;25/06/2020;FERRAZ DE VASCONCELOS;3515707;Liquidação;MUNICIPIO DE FERRAZ DE VASCONCELOS;Ministério da Fazenda;Investimentos;Contribuições;Encargos especiais;Outras transferências;TRANSFERENCIAS ESPECIAIS;NÃO
202041260003;2020;POLICIAL KATIA SASTRE;0003;100000.0;0.0;Emenda Individual - Transferências Especiais;18/05/2020;FERRAZ DE VASCONCELOS;3515707;Empenho;MUNICIPIO DE FERRAZ DE VASCONCELOS;Ministério da Fazenda;Investimentos;Contribuições;Encargos especiais;Outras transferências;TRANSFERENCIAS ESPECIAIS;NÃO
