Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;600526773,49;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;17586632,82;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;17586632,82;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;5434961,75;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;4741064,7;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;693897,05;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;110941623,96;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;66723331,88;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;33404881,2;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;1803846,95;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;9009563,93;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;17220300,79;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;17066063,39;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;154237,4;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;15502266,17;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;8975211,71;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;6523970,63;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;3083,83;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;99449938,14;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;36702543,59;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;11334747,69;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;6672822,55;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;330964,28;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;44408860,03;2023
