Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;732618633,68;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;704336647,07;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;120353333,78;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;97606109,62;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;48867189,32;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.2.50.0.0 - Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.2.50.0.0;43404110,27;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;"1.1.1.2.53.0.0 - Impostos sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis""";siconfi-cor_RO1.1.1.2.53.0.0;5463079,05;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;19942762,38;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;19942762,38;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;19942762,38;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;28460886,51;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.4.51.0.0 - Impostos sobre Serviços;siconfi-cor_RO1.1.1.4.51.0.0;28460886,51;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;siconfi-cor_RO1.1.1.4.51.1.0;28460886,51;2024
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.9.00.0.0 - Outros Impostos;siconfi-cor_RO1.1.1.9.00.0.0;335271,41;2024
