Exercício;Código IBGE;Município;Resultado da Execução Orçamentária (Valor);Resultado da Execução Orçamentária (%);Despesa Empenhada FUNDEB (%);Despesa Empenhada FUNDEB Profissionais da Educação (%);Despesa Empenhada Ensino;Despesa Empenhada Ensino (%);Despesa Empenhada Saúde;Despesa Empenhada Saúde (%);Despesa com Pessoal Poder Executivo;Despesa com Pessoal Poder Executivo (%)
2016;3515707;Ferraz de Vasconcelos                                                                               ;-30173962,97;-0.1047;0.992794667865;0,787698797016;47543944,97;0.279015384566;48118886,73;0.282389475554;157661248,87;0.548841845408
2017;3515707;Ferraz de Vasconcelos                                                                               ;21178993,20;0.0709;0.99129476699;0,786505284853;43345940,21;0.253420110519;37820774,09;0.228284068355;153061051,74;0.512264967742
2018;3515707;Ferraz de Vasconcelos                                                                               ;24733572,28;0.074;0.991317520133;0,795828627592;49502104,30;0.258866863669;35661686,34;0.192087921473;162616061,67;0.492968161285
2019;3515707;Ferraz de Vasconcelos                                                                               ;13196302,20;0.0384;0.968327678322;0,783745043955;50338289,45;0.254621569946;36551872,81;0.190639695706;165165042,03;0.486636979205
2020;3515707;Ferraz de Vasconcelos                                                                               ;8922208,34;0.0238;0.972139366447;0,806487027247;50843684,47;0.260824347704;35583056,46;0.188239524744;169407125,29;0.457755309823
2021;3515707;Ferraz de Vasconcelos                                                                               ;50574261,73;0.112;0.923314362978;0,714084560636;64710817,03;0.258551102954;40909327,54;0.168340421065;163883094,23;0.37648920348
2022;3515707;Ferraz de Vasconcelos                                                                               ;44763844,49;0.077;0.962381389071;0,758443584564;76993556,54;0.259962060111;51617472,87;0.180458796108;187702027,41;0.343903786062
2023;3515707;Ferraz de Vasconcelos                                                                               ;59453706,20;0.0901;0.999999156172;0,897231928312;86360579,29;0.272322842416;48629454,90;0.15889984737;220849414,27;0.397689700668
2024;3515707;Ferraz de Vasconcelos                                                                               ;28661423,59;0.0421;0.965531211763;0,868121618667;96770678,81;0.268709885276;59704839,63;0.172168855861;248659676,91;0.392079498457
2025;3515707;Ferraz de Vasconcelos                                                                               ;17248708,96;0.0228;0.956657093537;0,796538526280;105380316,75;0.269530796831;60026617,82;0.160619680292;283859470,64;
