ano_exercicio;ds_municipio;codigo_municipio_ibge;ds_orgao;mes_referencia;mes_ref_extenso;tp_despesa;nr_empenho;tp_identificador_despesa;nr_identificador_despesa;ds_despesa;dt_emissao_despesa;vl_despesa;ds_funcao_governo;ds_subfuncao_governo;ds_modalidade_lic;ds_elemento;historico_despesa;contrato
2020;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 370-2020;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;02/01/2020;1339058.0;URBANISMO;ADMINISTRAÇÃO GERAL;PREGÃO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICO DE MONITORAMENTO E FISCALIZACAO DE TRAFEGO (RADAR) P.A 8847/2019;
2020;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;7;Julho;Empenhado; 1735-2020;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;31/07/2020;964993.0;URBANISMO;ADMINISTRAÇÃO GERAL;PREGÃO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICO DE MONITORAMENTO E FISCALIZACAO DE TRAFEGO DE VEICULOS (RADAR)-REQ.1640;
2020;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;8;Agosto;Empenhado; 1887-2020;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;31/08/2020;13556.8;URBANISMO;ADMINISTRAÇÃO GERAL;PREGÃO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICO DE MONITORAMENTO E FISCALIZACAO 4 ADITIVO CONTRATO 161/16 P.A 15826/19;CONTRATO 161/16
2020;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;11;Novembro;Empenhado; 2526-2020;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;04/11/2020;268420.5;URBANISMO;SERVIÇOS URBNOS;PREGÃO;33903999 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;FORNECIMENTO E INSTALACAO DE LUMINARIAS PUBLICA, CONFORME DEP. COMPRAS N. 2332;
2020;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;11;Novembro;Empenhado; 2525-2020;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;04/11/2020;1695711.5;URBANISMO;SERVIÇOS URBNOS;PREGÃO;33903026 - MATERIAL ELÉTRICO E ELETRÔNICO;FORNECIMENTO E INSTALACAO DE LUMINARIAS PUBLICAS, CONFORME DEP. COMPRAS N. 2331;
2020;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;12;Dezembro;Empenhado; 3120-2020;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;28/12/2020;447373.25;URBANISMO;ADMINISTRAÇÃO GERAL;PREGÃO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICO DE MONITORAMENTO E FISCALIZACAO DE TRAFEGO DE VEICULOS (RADAR);
2021;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 708-2021;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;22/01/2021;296664.0;URBANISMO;SERVIÇOS URBNOS;OUTROS/NÃO APLICÁVEL;33909301 - INDENIZAÇÕES;TERMO DE INDENIZACAO - P.A 18.376/2020 - NOTA FISCAL N. 26;
2021;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 201-2021;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;12/01/2021;1491763.35;URBANISMO;ADMINISTRAÇÃO GERAL;PREGÃO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICO DE MONITORAMENTO DE FISCALIZACAO VIARIA - 6 ADITIVO - PLURIANUAL;
2021;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;2;Fevereiro;Empenhado; 1129-2021;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;26/02/2021;37501.2;URBANISMO;ADMINISTRAÇÃO GERAL;OUTROS/NÃO APLICÁVEL;33909301 - INDENIZAÇÕES;TERMO DE AJUTE DE CONTAS - INDENIZACAO - PROCESSO ADM. N. 11/2021;
2021;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;2;Fevereiro;Empenhado; 1128-2021;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;26/02/2021;6816.6;URBANISMO;ADMINISTRAÇÃO GERAL;OUTROS/NÃO APLICÁVEL;33909239 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;PRESTACAO DE SERVICO - DEA - CONFORME PR OCESSO ADM. N. 11/2021;
2021;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;4;Abril;Empenhado; 1802-2021;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;01/04/2021;277898.62;URBANISMO;ADMINISTRAÇÃO GERAL;PREGÃO;33903999 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVICO DE MONITORAMENTO E FISCALIZACAO DE TRAFEGO DE VEICULOS (RADAR);
