Município;Entidade;Código da Licitação;Modalidade de licitação;Objeto;Descrição do objeto contratado;Produto (item);Quantidade do objeto contratado (item);Unidade do objeto contratado;Valor unitário orçamento estimativo lote;Quantidade orçamento estimativo lote;Unidade de medida orçamento estimativo lote;Valor unitário orçamento estimativo item;Quantidade orçamento estimativo item;Unidade de medida orçamento estimativo item;Número do edital;Data do edital;CNPJ do participante candidato;Nome do participante candidato;Resultado da Habilitação;Valor da Proposta;arquivo_origem;ano
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020809023675;Contratacao Direta - Dispensa de licitacao;Medicamentos;46320-5 - MEDICAMENTOS GERAIS DE USO HUMANO CETOPROFENO 100MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADMINISTRACAOINTRAVENOSA;;;;2,29;2000,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020809023675;Contratacao Direta - Dispensa de licitacao;Medicamentos;46320-5 - MEDICAMENTOS GERAIS DE USO HUMANO CETOPROFENO 100MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADMINISTRACAOINTRAVENOSA;;;;2,584;2000,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020809023675;Contratacao Direta - Dispensa de licitacao;Medicamentos;46320-5 - MEDICAMENTOS GERAIS DE USO HUMANO CETOPROFENO 100MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADMINISTRACAOINTRAVENOSA;;;;6,8;2000,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020818855242;Contratacao Direta - Dispensa de licitacao;Medicamentos;11197-0 - MEDICAMENTOS GERAIS DE USO HUMANO MEROPENEM TRIIDRATADO 500MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADM INISTRACAO INTRAVENOSA;;;;10,39;750,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020818855242;Contratacao Direta - Dispensa de licitacao;Medicamentos;11197-0 - MEDICAMENTOS GERAIS DE USO HUMANO MEROPENEM TRIIDRATADO 500MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADM INISTRACAO INTRAVENOSA;;;;11,7;750,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020818855242;Contratacao Direta - Dispensa de licitacao;Medicamentos;11197-0 - MEDICAMENTOS GERAIS DE USO HUMANO MEROPENEM TRIIDRATADO 500MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADM INISTRACAO INTRAVENOSA;;;;13,21;750,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020818855242;Contratacao Direta - Dispensa de licitacao;Medicamentos;11197-0 - MEDICAMENTOS GERAIS DE USO HUMANO MEROPENEM TRIIDRATADO 500MG, FORMA FARMACEUTICA PO LIOFILO PARA SOLUCAO INJETAVEL, FORMA DE APRESENTACAO FRASCO-AMPOLA COM OU SEM DILUENTE, VIA DE ADM INISTRACAO INTRAVENOSA;;;;16,2;750,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;6,9;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;6,908;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;8,54;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;8,9;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;9,05;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;10,5;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;13,56;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
Ferraz de Vasconcelos;SECRETARIA DA SAUDE / HOSPITAL REG OSIRIS FLORINDO COELHO DE FERRAZ DE VASCONCELOS; 2020820184328;Contratacao Direta - Dispensa de licitacao;Medicamentos;84419-5 - MEDICAMENTOS CONTROLADOS DE USO HUMANO  PROPOFOL 10MG/ML, FORMA FARMACEUTICA EMULSAO INJETAVEL, FORMA DE APRESENTACAO AMPOLA/FRASCO-AMPOLA/SERINGA PREENCHIDA 20ML, VIA DE ADMINISTRACAO INALATORIA/INTRAVENOSA/INTRATECAL;;;;14,73;1500,0;unidade;;;;;;;;;;licitacao-2020-01_0.zip;2020
