nome_contrato;cnpj;ano;qtd_contratos;valor_total;situacao_receita;razao_social;municipio;uf;abertura;tipo;porte;atividade
BERTY CONSTRUCOES LTDA EPP;00.997.612/0001-09;2024;7;150227.4;Ativa;BERTY CONSTRUCOES LTDA;Ferraz de Vasconcelos;SP;1996-01-03;Sociedade Empresária Limitada;Empresa de Pequeno Porte;
RT LOCACOES DE MAQUINAS E EQUIPAMENTOS LTDA;09.239.327/0001-95;2024;3;109850.84;Ativa;NOVA BRASIL SERVICOS E LOCACOES LTDA;Guararema;SP;2007-11-21;Sociedade Empresária Limitada;Micro Empresa;
E DE SOUZA LOPES;42.041.320/0001-30;2024;4;102149.49;Baixada;E DE SOUZA LOPES;Ferraz de Vasconcelos;SP;2021-05-21;Empresário (Individual);Micro Empresa;
THREE F ENGENHARIA E CONSULTORIA EIRELI;38.000.213/0001-96;2024;5;93250.12;não encontrado;;;;;;;
DRA LTDA;35.712.547/0001-02;2024;3;86150.84;não encontrado;;;;;;;
W & MACEDO ELETRICA EIRELI;29.179.763/0001-23;2024;4;83807.76999999999;não encontrado;;;;;;;
FABIO BRETAS MAIA;22.042.664/0001-56;2024;3;74120.74;não encontrado;;;;;;;
JA RODRIGUES ARQUITETURA E ENGENHARIA LTDA;55.871.049/0001-01;2024;2;69940.89;não encontrado;;;;;;;
TEC-CONST EMPEENDIMENTOS COM.PARTIC.LTDA;03.866.882/0001-60;2022;2;65816.01000000001;não encontrado;;;;;;;
CARLOS ALEXANDRO DE O. ARRUDA CONSTRUCOES;31.512.425/0001-03;2024;2;64467.45;não encontrado;;;;;;;
