processo;arquivo;descricao;unidade;quantidade;valor_unitario;valor_total;vencedor;cnpj_vencedor
00032;11697.xlsx;CANETA DE ALTA ROTACAO- As canetas de alta rotacao Fritction Grip da Saev o possuem rolamentos com e;UN;30.0;1100.0;33000.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;CONCRETO BETUMINOSO USINADO A QUENTE FAIXA III(DER Conforme termo de referencia;T;7000.0;498.0;3486000.0;Casamax Comercial e Servicos Ltda;08.183.516/0001-20
00032;11697.xlsx;CONCRETO BETUMINOSO USINADO A QUENTE FAIXA IV(DER) Conforme termo de referencia;T;7000.0;498.0;3486000.0;Casamax Comercial e Servicos Ltda;08.183.516/0001-20
00032;11697.xlsx;CURETA DE GRACEY MINI FIVE 11/12-ACO INOX Registro ANVISA: 10317690017. Conhecida como Mini Gracey o;UN;20.0;85.0;1700.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;CURETA DE GRACEY MINI FIVE 13/14 ACO INOX Registro anvisa: 10317690017. Conhecida como mini gracey o;UN;20.0;85.0;1700.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;CURETA DE GRACEY MINI FIVE 5/6-ACO INOX. Registro ANVISA: 10317690017. Conhecida como Mini Gracey ou;UN;20.0;85.0;1700.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;CURETA DE GRACEY MINI FIVE 7/8 ACO INOX registro anvisa 10317690017. Conhecida como mini g racey ou ;UN;20.0;85.0;1700.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;CURETA UNIVERSAL DE MACALL 13/14 ACO INOX autoclavavel, cabo 8mm Garantia de 10 anos contra defeito ;UN;20.0;85.0;1700.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.01 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de ;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.150 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
