Ano;Nro SIAM (Fiscalizadores);Tipo;CNPJ/CPF;Fornecedor;Nome Fantasia;Data Inicial;Data final;Valor Contratado;Valor Empenhado;Valor Processado;Valor Pago;Objeto Contrato;Modalidade e Nro Processo Licitatório;Nro Processo Adm
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;07/01/2020;06/04/2020;688500.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;18811;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;22/01/2021;22/04/2021;298800.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;11697;0;
Obras;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;24/01/2022;23/04/2022;5482744.22;5482744.22;5482744.22;5482744.22;SERVICOS DE RECUPERACAO VIARIA;;14129;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;30/01/2020;29/07/2020;229500.0;0.0;0.0;0.0;AQUISICAO DE CONCRETO USINADO;;CRIADA NA CONVERSAO;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;20/01/2026;19/07/2026;750720.0;750720.0;750720.0;750720.0;AQUISICAO DE MASSA ASFALTICA CBUQ;;4270;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;09/03/2020;08/12/2020;1453800.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;18811;0;
Obras;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;10/02/2022;09/01/2023;10000046.41;5500000.0;5500000.0;5500000.0;OBRAS DE RECUPERACAO DA MALHA VIARIA;;14257;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;23/04/2021;22/07/2021;298800.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;11697;0;
Fornecimento de Serviços;;Casamax Comercial e Servicos Ltda;;13/07/2020;12/10/2020;504000.0;0.0;0.0;0.0;SERVICOS DE TAPA BURACOS;;CRIADA NA CONVERSAO;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;13/06/2023;12/06/2024;1499723.0;1448358.0;1448358.0;1448358.0;AQUISICAO DE CONCRETO USINADO;;CRIADA NA CONVERSAO;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;08/07/2021;06/10/2021;358062.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;11697;0;
Obras;;Casamax Comercial e Servicos Ltda;;10/08/2020;09/10/2020;117252.4;0.0;0.0;0.0;PAVIMENTACAO ASFALTICA;;19468;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercio de Pecas e Equipamentos Ltda;;25/03/2024;24/03/2025;2207637.0;0.0;0.0;0.0;AQUISICAO DE CONCRETO USINADO;;CRIADA NA CONVERSAO;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;17/05/2022;16/07/2022;479528.84;479528.83;479528.83;479528.83;AQUISICAO DE CONCRETO USINADO;;13846;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;10/09/2021;09/12/2021;332166.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;11697;0;
Fornecimento de Serviços;;Casamax Comercial e Servicos Ltda;;09/10/2020;08/01/2021;504000.0;0.0;0.0;0.0;SERVICOS DE TAPA BURACOS;;CRIADA NA CONVERSAO;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;26/10/2020;24/01/2021;298800.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;11697;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;27/04/2026;26/10/2026;99840.0;99840.0;99840.0;99840.0;AQUISICAO DE MASSA ASFALTICA CBUQ;;4270;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;11/12/2020;11/03/2021;298800.0;0.0;0.0;0.0;FORNECIMENTO DE CBUQ;;11697;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;25/07/2022;23/09/2022;1329951.84;1329951.84;1329951.84;1329951.84;AQUISICAO DE CONCRETO USINADO;;13846;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;29/08/2023;28/08/2024;27965.0;27965.0;27965.0;27965.0;AQUISICAO DE CONCRETO USINADO;;CRIADA NA CONVERSAO;0;
Fornecimento de Material;;Casamax Comercial e Servicos Ltda;;19/11/2021;17/02/2022;699541.5;0.0;0.0;0.0;AQUISICAO DE CONCRETO USINADO;;13846;0;
Obras;;Casamax Comercial e Servicos Ltda;;08/12/2021;07/06/2022;4391516.73;2952911.53;2743299.73;2743299.73;OBRAS DE RECUPERACAO E REVITALIZACAO DO SISTEMA VIARIO;;11787;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;15/05/2026;13/11/2026;1501440.0;1501440.0;0.0;0.0;AQUISICAO DE MASSA ASFALTICA CBUQ;;4270;0;
Fornecimento de Material;08.183.516/0001-20;Casamax Comercial e Servicos Ltda;;12/09/2022;11/11/2022;2139774.0;2139774.0;2139774.0;2139774.0;AQUISICAO DE CONCRETO USINADO;;13846;0;
Obras;;Casamax Comercial e Servicos Ltda;;29/12/2021;28/10/2022;8909813.8;8565181.25;8565181.25;8565181.25;SERVICOS DE RECUPERACAO ASFALTICA;;14809;0;
