processo;arquivo;descricao;unidade;quantidade;valor_unitario;valor_total;vencedor;cnpj_vencedor
00034;7102.xlsx;ALCOOL GEL NA CONCENTRACAO FINAL DE 70% indicado como antisseptico de maos,conteudo:500ml caixa com ;UN;750.0;3.78;2835.0;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;ALCOOL GEL NA CONCENTRACAO FINAL DE 70% indicado como antisseptico de maos,conteudo:500ml caixa com ;UN;250.0;3.78;945.0;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;DESINFETANTE HOSPITALAR P/SUPERFICIES FIXA 750ML e artigos criticos, limpador a base de quatenari o ;UN;53.0;39.78;2108.34;Bm Assessoria e Servicos Ltda;29.181.585/0001-75
00034;7102.xlsx;DESINFETANTE HOSPITALAR P/SUPERFICIES FIXA 750ML e artigos criticos, limpador a base de quatenari o ;UN;17.0;39.78;676.26;Bm Assessoria e Servicos Ltda;29.181.585/0001-75
00034;7102.xlsx;ESBRIET 267MG CAPSULAS DURAS (PIRFENIDONA);CAP;2430.0;36.34;88306.2;Ciamed - Distribuidora de Medicamentos Ltda.;05.782.733/0001-49
00034;7102.xlsx;ESBRIET 267MG CAPSULAS DURAS (PIRFENIDONA);CAP;810.0;36.34;29435.4;Josiane Cristina Fusco Carraro;21.940.274/0001-30
00034;7102.xlsx;GELO GEL ARTIFICIAL LARG.17,5 COMPR.2,8CM ALT.15CM em embalagem rigida resistente a impacto de 400 m;UN;25.0;6.4;160.0;Orion Comercial Eireli - Me;17.766.093/0001-62
00034;7102.xlsx;GELO GEL ARTIFICIAL LARG.17,5 COMPR.2,8CM ALT.15CM em embalagem rigida resistente a impacto de 400 m;UN;75.0;6.4;480.0;Orion Comercial Eireli - Me;17.766.093/0001-62
00034;7102.xlsx;GELO GEL ARTIFICIAL LARG.27,5CM COMPR.2,3CM ALT.15 em embalagem rigida resistente a impacto de 400ml;UN;150.0;12.0;1800.0;Orion Comercial Eireli - Me;17.766.093/0001-62
00034;7102.xlsx;GELO GEL ARTIFICIAL LARG.27,5CM COMPR.2,3CM ALT.15 em embalagem rigida resistente a impacto de 400ml;UN;50.0;12.0;600.0;Orion Comercial Eireli - Me;17.766.093/0001-62
00034;7102.xlsx;MACACAO DE SEGURANCA CONFECCIONADO EM TECIDO, nao tecido (TNT) de polipropileno com filme de po liet;UN;3750.0;26.46;99225.0;Ferrarezi Comercio de Equipamentos e Servicos;26.581.657/0001-83
00034;7102.xlsx;MASCARA DE PROTECAO RESPIRATORIA N95 com certificado de aprovacao (CA);UN;1500.0;2.59;3885.0;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;MASCARA DE PROTECAO RESPIRATORIA N95 com certificado de aprovacao (CA);UN;500.0;2.59;1295.0;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;MASCARA DE PROTECAO RESPIRATORIA N95. com certificado de aprovacao (CA).;UN;50.0;2.59;129.5;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;MASCARA DE PROTECAO RESPIRATORIA N95. com certificado de aprovacao (CA).;UN;150.0;2.59;388.5;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;MASCARA PROTETORA TRIPLA COM PROTECAO,COR AZUL, confeccionada em tecido de fibra nao tecido, poss ui;UN;75000.0;0.41;30750.0;Quality Medical Comercio e Dist. de Med Ltda;07.118.264/0001-93
00034;7102.xlsx;MASCARA PROTETORA TRIPLA COM PROTECAO,COR AZUL, confeccionada em tecido de fibra nao tecido, poss ui;UN;25000.0;0.41;10250.0;Force Medical Distribuidora Eireli;24.067.457/0001-81
00034;7102.xlsx;PAPEL TOALHA INTERFOLHAS 2 DOBRAS 100% CELULOSE celulose virgem, gofrado, 23x21 cm aproximadament e,;PCT;750.0;35.9;26925.0;Aoyagi Com. de Mat. de Limpeza, Desc. e Pisci;24.657.987/0001-80
00034;7102.xlsx;PAPEL TOALHA INTERFOLHAS 2 DOBRAS 100% CELULOSE celulose virgem, gofrado, 23x21 cm aproximadament e,;PCT;2250.0;35.9;80775.0;Aoyagi Com. de Mat. de Limpeza, Desc. e Pisci;24.657.987/0001-80
00034;7102.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestaç cao do servico de apoio tecn;UN;1.0;756600.0;756600.0;Datacity Servicos Ltda;02.679.522/0001-97
00034;7102.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestaç cao do servico de apoio tecn;UN;1.0;116400.0;116400.0;Datacity Servicos Ltda;02.679.522/0001-97
00034;7102.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestaç cao do servico de apoio tecn;UN;1.0;58200.0;58200.0;Datacity Servicos Ltda;02.679.522/0001-97
00034;7102.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestaç cao do servico de apoio tecn;UN;1.0;58200.0;58200.0;Datacity Servicos Ltda;02.679.522/0001-97
00034;7102.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestaç cao do servico de apoio tecn;UN;1.0;58200.0;58200.0;Datacity Servicos Ltda;02.679.522/0001-97
00034;7102.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestaç cao do servico de apoio tecn;UN;1.0;116400.0;116400.0;Datacity Servicos Ltda;02.679.522/0001-97
00034;7102.xlsx;SACO DE LIXO BRANCO - 100L - saco plastico p/coleta de residuos de servicos da saue com capacidade d;PCT;3750.0;33.6;126000.0;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00034;7102.xlsx;SACO DE LIXO BRANCO - 100L - saco plastico p/coleta de residuos de servicos da saue com capacidade d;PCT;1250.0;33.6;42000.0;Br Vale Distribuidora de Produtos Eireli;35.638.331/0001-36
00038;7609.xlsx;LOCACAO DE ARQUIBANCADA. Arquibancada em estrutura metalica tubular galvan izada. Toda a estrutura d;UN;4000.0;19.0;76000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE BALCAO DE APOIO montado a 1,20 m do solo em estrutura de metalon 20 X 30. Seu apoio em ma;UN;450.0;190.0;85500.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE BARRICADAS GALVANIZADAS Barricadas em estrutura metalica galvanizada, sup er-reforcadas, ;M;1000.0;95.0;95000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE BOX TRUSS P-15 padrao, estruturas confeccionadas em duraluminio com os devidos acessorios;M;1000.0;28.5;28500.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE BOX TRUSS P-30 padrao, estruturas confeccionadas em duraluminio com os devidos acessorios;M;6000.0;37.0;222000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE BOX TRUSS P-50 padrao, estruturas confeccionadas em duraluminio com os devidos acessorios;M;1000.0;66.3;66300.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE CADEIRA Cadeira em PVC, resistentes ao minimo de 120kg, s em bracos e na cor branca. As p;UN;3000.0;6.97;20910.0;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE CAMARINS EM OCTANORM MEDINDO 4X4 , com altura de 1,40m do solo ao piso, com portas , com ;UN;100.0;2850.0;285000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE CARRO DE SOM VOLANTE Veiculacao de propaganda volante com carro de som , motorista e comb;H;350.0;130.0;45500.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE CONTAINER BILHETERIA Conteiner bilheteria em modulo metalico habitacio nal construido em ;UN;8.0;3173.44;25387.52;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE CONTEINER SANITARIO Conteiner Sanitario nas dimensoes minimas de 6m X 2,30m com pe direit;UN;150.0;4817.28;722592.0;Pilar Ecotec Ambiental Ltda;30.667.156/0001-91
00038;7609.xlsx;LOCACAO DE FECHAMENTO EM PLACAS Fechamento em placas metalicas galvanizadas, em p erfeito estado de ;M;2000.0;28.5;57000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE GERADOR DE ENERGIA 150KVA Geradores silenciados e blindados acusticamente, com fechamento;DIA;50.0;3797.36;189868.0;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE GERADOR DE ENERGIA 250KVA Geradores silenciados e blindados acusticamente, com fechamento;UN;70.0;4996.33;349743.1;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE GERADOR DE ENERGIA 450KVA Geradores silenciados e blindados acusticamente, com fechamento;UN;10.0;6545.45;65454.5;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE GERADOR DE ENERGIA 80KVA Geradores silenciados e blindados acusticamente, com fechamento ;UN;50.0;2298.4;114920.0;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE GRADES DE PROTECAO Grades de protecao metalicas, medindo 1,30m de al tura X 2,00m de comp;M;2000.0;14.25;28500.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE GRID MOVEL PARA ILUMINACAO 08X06M Grid interno para instalacao do sistema de ilumin acao ;UN;30.0;3325.0;99750.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
