siam;arquivo;tipo;tem_texto;valores_extraidos;tamanho_kb
SIAM_111_2021;g00028-2020-0000000111-2021=contrato 1112021.pdf;Contrato Original;False;PDF sem texto extraível;1967
SIAM_189_2021;00000-=4__adt_contrato_n__1892021.pdf;4º Aditivo;True;"valor global do contrato, com o reajuste, passa a ser Rg 1.570.g4g,44 (Um milhã0, | valor
mensal de R$ í30.903,62 (Cento e trinta mil, novecentos e três reais e sessenta e dois centavos),";2791
SIAM_189_2021;00000-=5__adt_contrago_189_2021_datacity.pdf;5º Aditivo;False;PDF sem texto extraível;231
SIAM_189_2021;g00034-2021-0000000189-2021=1 adt contr 1892021.pdf;1º Aditivo;False;PDF sem texto extraível;746
SIAM_189_2021;g00034-2021-0000000189-2021=3 adt contr 1892021.pdf;3º Aditivo;False;PDF sem texto extraível;836
SIAM_189_2021;g00034-2021-0000000189-2021=ctt1892021.pdf;Contrato Original;False;PDF sem texto extraível;2931
SIAM_243_2020;g00028-2020-0000000243-2020=1-adt 2432020.pdf;Aditivo;False;PDF sem texto extraível;763
SIAM_243_2020;g00028-2020-0000000243-2020=contrato2432020.pdf;Contrato Original;False;PDF sem texto extraível;579
SIAM_329_2022;00000-=2__adt_contrato_329_2022_datacity_servicos_ltda.pdf;2º Aditivo;True;"valor 
global do contrato com o reajuste, na proporção de 4,4gg250 | valor mensal oe n$ ssi.osá,oi ltr.";2786
SIAM_329_2022;00000-=3__adt_contrato_329_2022_datacity.pdf;3º Aditivo;False;PDF sem texto extraível;330
SIAM_329_2022;g00038-2021-0000000329-2022=1 adt cont 3292022.pdf;1º Aditivo;False;PDF sem texto extraível;903
SIAM_329_2022;g00038-2021-0000000329-2022=contrato 3292022.pdf;Contrato Original;False;PDF sem texto extraível;1315
