Nro Emenda;Data;Aplicação;Âmbito;Tipo;Destinação;Parlamentar;Descrição;Finalidade;Fundamento Legal;Orçado;Empenhado;Receita Recebida;Bancos Recebido
30/04/2026;8040001-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;JOSUE ROCHA DE OLIVEIRA;VALOR A SER DESTINADO PARA AQUISICAO DE MATERIAS ESPORTIVOS.;VALOR A SER DESTINADO PARA AQUISICAO DE MATERIAS ESPORTIVOS.;3642/2025;254176.47;0.0;0.0;0.0;0
30/04/2026;8040014-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;CLAUDIO RAMOS MOREIRA;Conselho Municipal do Idoso - realizacao de atividades esportivas e culturais ao publico da melhor idade.;Conselho Municipal do Idoso - realizacao de atividades esportivas e culturais ao publico da melhor idade.;3642/2025;10000.0;0.0;0.0;0.0;0
30/04/2026;8040019-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;ANDERSON DOS SANTOS;valor a ser utilizado para manutencao e desenvolvimento das atividades estatutarias da entidade, visando ao atendimento na area da saude de pessoas com TEA - Transtorno do Espectro Autista, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n° 03.601.048/0001-43.;valor a ser utilizado para manutencao e desenvolvimento das atividades estatutarias da entidade, visando ao atendimento na area da saude de pessoas com TEA - Transtorno do Espectro Autista, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n° 03.601.048/0001-43.;3642/2025;265000.0;0.0;0.0;0.0;0
30/04/2026;8040020-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);INVESTIMENTO;ANANIAS COELHO NETO;valor a ser destinado para cobertura da quadra da EMEB Joseé Sebastiao existente na Rua Jose Sebastiao n 10.;valor a ser destinado para cobertura da quadra da EMEB Jose Sebastiao  existente na Rua Jose Sebastiao n 10.;LEI N 3.642/2025;254176.47;0.0;0.0;0.0;0
30/04/2026;8040025-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);INVESTIMENTO;MARCOS ANTONIO CASTELLO;valor a ser utilizado para aquisicao de um (01) veiculo de sete lugares a ser destinado para o centro multidisciplinar do Autismo e outras deficiencias para locomocao dos municipes.;valor a ser utilizado para aquisicao de um (01) veiculo de sete lugares a ser destinado para o centro multidisciplinar do Autismo e outras deficiencias para locomocao dos municipes.;3642/2025;150000.0;0.0;0.0;0.0;0
30/04/2026;8040027-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;MARCOS ANTONIO CASTELLO;recurso a saude e bem estar da crianca com TEA - entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n° 03.601.048/0001-43.;recurso a saude e bem estar da crianca com TEA - entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n° 03.601.048/0001-43.;3642/2025;104176.47;0.0;0.0;0.0;0
30/04/2026;8040032-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;LUIZ TENORIO DE MELO;apoio financeiro para fortalecimento das acoes de atendimento e reabilitacao de pessoas com deficiencia intelectual e multipla, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;apoio financeiro para fortalecimento das acoes de atendimento e reabilitacao de pessoas com deficiencia intelectual e multipla, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;3642/2025;30000.0;0.0;0.0;0.0;0
30/04/2026;8040002-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;JOSUE ROCHA DE OLIVEIRA;valor a ser utilizado para manutencao e desenvolvimento das atividades estatutarias da entidade, visando ao atendimento na area da saude com pessoas com TEA - Transtorno do Espectro Autista, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n  03.601.048/0001-43.;valor a ser utilizado para manutencao e desenvolvimento das atividades estatutarias da entidade, visando ao atendimento na area da saude com pessoas com TEA - Transtorno do Espectro Autista, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n  03.601.048/0001-43.;3642/2025;254176.47;0.0;0.0;0.0;0
30/04/2026;8040028-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;MARCOS ANTONIO CASTELLO;VALOR DESTINADO PARA AQUISICAO DE COMPRAS DE MATERIAIS ESPORTIVOS.;VALOR DESTINADO PARA AQUISICAO DE COMPRAS DE MATERIAIS ESPORTIVOS.;3642/2025;35001.0;30600.0;0.0;0.0;0
30/04/2026;8040041-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;HODIRLEI MARTINS PEREIRA;Execucao do festival de fanfarra;Execucao do festival de fanfarra;3642/2025;10000.0;0.0;0.0;0.0;0
