Nome da empresa contratada;CNPJ da empresa contratada;ano;qtd_contratos;valor_total;valor_medio;valor_maximo;objetos
BERTY CONSTRUCOES LTDA EPP;00.997.612/0001-09;2024;7;150227.4;21461.057142857142;31425.47;Obras e servicos de engenharia
RT LOCACOES DE MAQUINAS E EQUIPAMENTOS LTDA;09.239.327/0001-95;2024;3;109850.84;36616.94666666666;56250.84;Obras e servicos de engenharia
E DE SOUZA LOPES;42.041.320/0001-30;2024;4;102149.49;25537.3725;31313.24;Obras e servicos de engenharia
THREE F ENGENHARIA E CONSULTORIA EIRELI;38.000.213/0001-96;2024;5;93250.12;18650.023999999998;30913.61;Obras e servicos de engenharia
DRA LTDA;35.712.547/0001-02;2024;3;86150.84;28716.946666666667;31597.09;Obras e servicos de engenharia | Outras prestacoes de servico
W & MACEDO ELETRICA EIRELI;29.179.763/0001-23;2024;4;83807.76999999999;20951.942499999997;30714.23;Obras e servicos de engenharia
FABIO BRETAS MAIA;22.042.664/0001-56;2024;3;74120.74;24706.913333333334;32856.58;Obras e servicos de engenharia
JA RODRIGUES ARQUITETURA E ENGENHARIA LTDA;55.871.049/0001-01;2024;2;69940.89;34970.445;51084.21;Obras e servicos de engenharia
TEC-CONST EMPEENDIMENTOS COM.PARTIC.LTDA;03.866.882/0001-60;2022;2;65816.01000000001;32908.005000000005;32995.32;Obras e servicos de engenharia
CARLOS ALEXANDRO DE O. ARRUDA CONSTRUCOES;31.512.425/0001-03;2024;2;64467.45;32233.725;32501.6;Obras e servicos de engenharia
